candidate_source_id,x_m,y_m,Q_hat_Bq_s,J,description,relative_likelihood,normalized_likelihood
CS_00184,-100.0,250.0,0.4977872714752952,103.23389367643786,synthetic inverse modeling grid point,3.846165706187452e-22,2.536805440885125e-22
CS_00185,-100.0,300.0,0.8513898929647069,103.28021923344141,synthetic inverse modeling grid point,3.7581016630824657e-22,2.4787212706332613e-22
CS_00186,-100.0,350.0,2.088930317766318,103.18378148808881,synthetic inverse modeling grid point,3.943753069964964e-22,2.601170882809317e-22
CS_00187,-100.0,400.0,7.361953232137988,102.8657740845437,synthetic inverse modeling grid point,4.6234284911075555e-22,3.049462620114507e-22
CS_00188,-100.0,450.0,37.470406726109125,101.97798245717203,synthetic inverse modeling grid point,7.206852728342163e-22,4.753404977717092e-22
CS_00189,-100.0,500.0,279.760976984972,99.2623207210605,synthetic inverse modeling grid point,2.8018449650070558e-21,1.8480055449280423e-21
CS_00190,-50.0,-500.0,555.9460498160265,86.15782416820785,synthetic inverse modeling grid point,1.9635834871902587e-18,1.2951156175936386e-18
CS_00191,-50.0,-450.0,61.82659530892821,90.6265566708699,synthetic inverse modeling grid point,2.1022116461473483e-19,1.3865502292996517e-19
CS_00192,-50.0,-400.0,10.449614364133536,91.98268681628703,synthetic inverse modeling grid point,1.0670788652517625e-19,7.038104122423543e-20
CS_00193,-50.0,-350.0,2.6396256915184306,92.43702723300187,synthetic inverse modeling grid point,8.502325950515853e-20,5.607856857739921e-20
CS_00194,-50.0,-300.0,0.9901256420181069,92.5783714193129,synthetic inverse modeling grid point,7.922189931793046e-20,5.2252180633733934e-20
CS_00195,-50.0,-250.0,0.5505856936700396,92.54572074984085,synthetic inverse modeling grid point,8.052583800047811e-20,5.3112216055282726e-20
CS_00196,-50.0,-200.0,0.45427375790199276,92.27110507327811,synthetic inverse modeling grid point,9.237773072739474e-20,6.092933789848903e-20
CS_00197,-50.0,-150.0,0.5592842919689133,91.28455938517038,synthetic inverse modeling grid point,1.5128398777219062e-19,9.978198356921951e-20
CS_00198,-50.0,-100.0,1.0534271050723236,87.25534908864333,synthetic inverse modeling grid point,1.1342919838267869e-18,7.481419928150996e-19
CS_00199,-50.0,-50.0,3.335022385914518,64.99616013630862,synthetic inverse modeling grid point,7.731189700537744e-14,5.099240541115502e-14
