candidate_source_id,x_m,y_m,Q_hat_Bq_s,J,description
CS_00288,150.0,200.0,0.27095346465494424,103.31233002667491,synthetic inverse modeling grid point
CS_00289,150.0,250.0,0.3624750365858093,103.44252283910458,synthetic inverse modeling grid point
CS_00290,150.0,300.0,0.8744806917546496,103.399808008142,synthetic inverse modeling grid point
CS_00291,150.0,350.0,3.808645210919493,103.12162357659238,synthetic inverse modeling grid point
CS_00292,150.0,400.0,30.2454357144278,101.98792263555981,synthetic inverse modeling grid point
CS_00293,150.0,450.0,455.5682707832473,96.38530167057623,synthetic inverse modeling grid point
CS_00294,150.0,500.0,8197.444367510187,87.74502668328789,synthetic inverse modeling grid point
CS_00295,200.0,-500.0,12325.943101218943,95.74919888639621,synthetic inverse modeling grid point
CS_00296,200.0,-450.0,1197.0324264837268,79.99668170323633,synthetic inverse modeling grid point
CS_00297,200.0,-400.0,57.60820553723963,90.3439579221089,synthetic inverse modeling grid point
CS_00298,200.0,-350.0,5.6050596415168075,92.28467444596379,synthetic inverse modeling grid point
CS_00299,200.0,-300.0,1.0730207429422656,92.70033436887115,synthetic inverse modeling grid point
CS_00300,200.0,-250.0,0.39883066428860403,92.77282326839362,synthetic inverse modeling grid point
CS_00301,200.0,-200.0,0.28731695109684596,92.64458205327827,synthetic inverse modeling grid point
